Running in-sample grid: 60 permutations (IS: 2010-01-01 → 2018-12-31) | shard 3/4
[1/60] {'atr_k': 2.3, 'risk_pct': 0.35, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[2/60] {'atr_k': 2.3, 'risk_pct': 0.35, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[3/60] {'atr_k': 2.3, 'risk_pct': 0.35, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[4/60] {'atr_k': 2.3, 'risk_pct': 0.4, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[5/60] {'atr_k': 2.3, 'risk_pct': 0.4, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[6/60] {'atr_k': 2.3, 'risk_pct': 0.4, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[7/60] {'atr_k': 2.3, 'risk_pct': 0.45, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[8/60] {'atr_k': 2.3, 'risk_pct': 0.45, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[9/60] {'atr_k': 2.3, 'risk_pct': 0.45, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[10/60] {'atr_k': 2.3, 'risk_pct': 0.5, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[11/60] {'atr_k': 2.3, 'risk_pct': 0.5, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[12/60] {'atr_k': 2.3, 'risk_pct': 0.5, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[13/60] {'atr_k': 2.4, 'risk_pct': 0.35, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[14/60] {'atr_k': 2.4, 'risk_pct': 0.35, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[15/60] {'atr_k': 2.4, 'risk_pct': 0.35, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[16/60] {'atr_k': 2.4, 'risk_pct': 0.4, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[17/60] {'atr_k': 2.4, 'risk_pct': 0.4, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[18/60] {'atr_k': 2.4, 'risk_pct': 0.4, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[19/60] {'atr_k': 2.4, 'risk_pct': 0.45, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[20/60] {'atr_k': 2.4, 'risk_pct': 0.45, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[21/60] {'atr_k': 2.4, 'risk_pct': 0.45, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[22/60] {'atr_k': 2.4, 'risk_pct': 0.5, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[23/60] {'atr_k': 2.4, 'risk_pct': 0.5, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[24/60] {'atr_k': 2.4, 'risk_pct': 0.5, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[25/60] {'atr_k': 2.5, 'risk_pct': 0.35, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[26/60] {'atr_k': 2.5, 'risk_pct': 0.35, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[27/60] {'atr_k': 2.5, 'risk_pct': 0.35, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[28/60] {'atr_k': 2.5, 'risk_pct': 0.4, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[29/60] {'atr_k': 2.5, 'risk_pct': 0.4, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[30/60] {'atr_k': 2.5, 'risk_pct': 0.4, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[31/60] {'atr_k': 2.5, 'risk_pct': 0.45, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[32/60] {'atr_k': 2.5, 'risk_pct': 0.45, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[33/60] {'atr_k': 2.5, 'risk_pct': 0.45, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[34/60] {'atr_k': 2.5, 'risk_pct': 0.5, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[35/60] {'atr_k': 2.5, 'risk_pct': 0.5, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[36/60] {'atr_k': 2.5, 'risk_pct': 0.5, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[37/60] {'atr_k': 2.6, 'risk_pct': 0.35, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[38/60] {'atr_k': 2.6, 'risk_pct': 0.35, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[39/60] {'atr_k': 2.6, 'risk_pct': 0.35, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[40/60] {'atr_k': 2.6, 'risk_pct': 0.4, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[41/60] {'atr_k': 2.6, 'risk_pct': 0.4, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[42/60] {'atr_k': 2.6, 'risk_pct': 0.4, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[43/60] {'atr_k': 2.6, 'risk_pct': 0.45, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[44/60] {'atr_k': 2.6, 'risk_pct': 0.45, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[45/60] {'atr_k': 2.6, 'risk_pct': 0.45, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[46/60] {'atr_k': 2.6, 'risk_pct': 0.5, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[47/60] {'atr_k': 2.6, 'risk_pct': 0.5, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[48/60] {'atr_k': 2.6, 'risk_pct': 0.5, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[49/60] {'atr_k': 2.7, 'risk_pct': 0.35, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[50/60] {'atr_k': 2.7, 'risk_pct': 0.35, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[51/60] {'atr_k': 2.7, 'risk_pct': 0.35, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[52/60] {'atr_k': 2.7, 'risk_pct': 0.4, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[53/60] {'atr_k': 2.7, 'risk_pct': 0.4, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[54/60] {'atr_k': 2.7, 'risk_pct': 0.4, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[55/60] {'atr_k': 2.7, 'risk_pct': 0.45, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[56/60] {'atr_k': 2.7, 'risk_pct': 0.45, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[57/60] {'atr_k': 2.7, 'risk_pct': 0.45, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[58/60] {'atr_k': 2.7, 'risk_pct': 0.5, 'max_positions': 8, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[59/60] {'atr_k': 2.7, 'risk_pct': 0.5, 'max_positions': 10, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}
[60/60] {'atr_k': 2.7, 'risk_pct': 0.5, 'max_positions': 12, 'entry_confirm': 2, 'min_rebalance_pct': 0.0}

Wrote in-sample grid to data/opt/is_grid_20250809-012930_part3-of-4.csv

